timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768839258664,161,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-10,text,true,,316344,123,20,22,https://vnexpress.net/the-thao,100,0,0
1768839258697,149,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-5,text,true,,316764,123,20,22,https://vnexpress.net/the-thao,100,0,0
1768839258697,151,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-15,text,true,,276554,125,20,22,https://vnexpress.net/kinh-doanh,109,0,0
1768839258633,222,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-18,text,true,,316746,123,20,22,https://vnexpress.net/the-thao,179,0,0
1768839258629,228,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-9,text,true,,316375,123,20,22,https://vnexpress.net/the-thao,103,0,0
1768839258711,161,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-20,text,true,,276575,125,20,22,https://vnexpress.net/kinh-doanh,101,0,0
1768839258637,236,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-16,text,true,,276585,125,20,22,https://vnexpress.net/kinh-doanh,174,0,0
1768839258527,352,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-19,text,true,,316680,123,20,22,https://vnexpress.net/the-thao,324,0,0
1768839258728,159,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-6,text,true,,316756,123,20,22,https://vnexpress.net/the-thao,136,0,0
1768839258697,192,GET Subpage - Thoi Su,200,OK,Thread Group 2 - Heavy Load 2-24,text,true,,314112,122,2,22,https://vnexpress.net/thoi-su,133,0,0
1768839258724,165,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-7,text,true,,276584,125,20,22,https://vnexpress.net/kinh-doanh,123,0,0
1768839258735,155,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-14,text,true,,316345,123,20,21,https://vnexpress.net/the-thao,116,0,0
1768839258764,150,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-2,text,true,,276911,125,20,21,https://vnexpress.net/kinh-doanh,107,0,0
1768839258788,134,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-17,text,true,,276621,125,20,21,https://vnexpress.net/kinh-doanh,108,0,0
1768839258794,141,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-3,text,true,,316353,123,20,21,https://vnexpress.net/the-thao,107,0,0
1768839258811,134,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-12,text,true,,276912,125,20,21,https://vnexpress.net/kinh-doanh,108,0,0
1768839258642,313,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-11,text,true,,316323,123,20,21,https://vnexpress.net/the-thao,256,0,0
1768839258822,142,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-4,text,true,,276896,125,20,21,https://vnexpress.net/kinh-doanh,107,0,0
1768839258806,158,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-1,text,true,,276590,125,20,21,https://vnexpress.net/kinh-doanh,115,0,0
1768839258639,331,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-13,text,true,,316687,123,20,21,https://vnexpress.net/the-thao,292,0,0
1768839258761,226,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-8,text,true,,316733,123,20,21,https://vnexpress.net/the-thao,185,0,0
1768839258848,144,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-15,text,true,,316352,123,20,21,https://vnexpress.net/the-thao,106,0,0
1768839258855,146,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-18,text,true,,276895,125,20,21,https://vnexpress.net/kinh-doanh,106,0,0
1768839258825,176,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-10,text,true,,276584,125,20,21,https://vnexpress.net/kinh-doanh,120,0,0
1768839258879,131,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-19,text,true,,276917,125,20,21,https://vnexpress.net/kinh-doanh,91,0,0
1768839258887,139,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-6,text,true,,276911,125,20,21,https://vnexpress.net/kinh-doanh,91,0,0
1768839258873,161,GET Subpage - The Thao,200,OK,Thread Group 3 - Custom 3-16,text,true,,316352,123,20,21,https://vnexpress.net/the-thao,101,0,0
1768839258890,164,GET Subpage - Kinh Doanh,200,OK,Thread Group 3 - Custom 3-14,text,true,,276553,125,20,21,https://vnexpress.net/kinh-doanh,112,0,0
